Crops,Original_Search_Title,Link,Headline,Date,Publisher,Publisher_URL,Source_URL,Body_Text
cassava,Akume Advises Christian Pilgrims,https://allafrica.com/stories/200312290846.html,Nigeria: Akume Advises Christian Pilgrims,29 December 2003,Vanguard (Lagos),http://www.vanguardngr.com/,,"MAKURDI — BENUE State Governor, Mr George Akume, has called on Christians
performing this year pilgrimage to Israel to pray for the unity, peace and
progress of Nigeria.
Akume whose address to the pilgrims was read by the Secretary to the
State Government, Dr John Orokpo, explained that Nigeria needed prayers for
her to succeed in the various economic , social and political programmes
being pursued for the improvement of the lives of the people.
He stressed the need for the pilgrims to pay special attention to the
spiritual benefits of their journey and advised them not to do anything that
would defile the places that Christ made holy while on earth.
Governor Akume also enjoined the pilgrims to be good ambassadors of the
state and work together while in the Holy Land.
He told the pilgrims to cooperate with the Chairman of the State
Christian Pilgrims Welfare Board, Rev Fr Chris Utov, and congratulated them
for scaling through the screening.
Speaking to Vanguard during a workshop organised for the pilgrims, Rev
Fr Chris Utov, expressed appreciation to Governor Akume for sponsoring
hundreds of pilgrims to Jerusalem every year.
Utov said about 186 pilgrims had been prepared to travel to the Holy
Land on Sunday and added that the entire pilgrims from Benue State would
travel to Israel in about three or four batches.In another development
Governor George Akume is to present the 2004 budget to the State House of
Assembly tomorrow, according to the Commissioner for Information, Mr John
Uzer.
Uzer told newsmen in Makurdi that the various ministries and departments
had been meeting to fine-tune the budget and noted that the House of
Assembly has been duly notified of the presentation on Tuesday.
He hinted that the budget would focus mainly on rural infrastructural
development and completion of on-going projects. According to him, the
budget would also contain various programmes planned for the reduction of
unemployment in the state especially amongst the youths.
It was further gathered that the new projects likely to be reflected in
next year's budget are the Mbatiav and Igumale Cement Companies, the three
Cassava Processing Industries and the three Fruit Juice Factories."
cassava,NPP in Turmoil in Kroboland,https://allafrica.com/stories/200312230612.html,Ghana: NPP in Turmoil in Kroboland,23 December 2003,Ghanaian Chronicle (Accra),http://thechronicle.com.gh/,,"Somanya/Odumase — The two Krobo districts, Yilo and Manya, are becoming test grounds for
the New Patriotic Party (NPP) to assess its strength, as the party prepares
to go into the 2004 Presidential and Parliamentary elections.
The Yilo Krobo constituency chairman of the party, Kingsley Ampomah,
caused a stir when he signed a letter to expel 12 senior members of the
party, including the district assembly's presiding member, worsening the
boiling situation in the Manya constituency where there is an in-fighting
between the district chief executive (DCE), Andrews Teye, and the party's
failed parliamentary candidate in 2000, Demah Narh.
At Yilo, the rift in the party is about a section of the leadership
blaming the DCE, Sub/ Lt. Christian Tettey, for being too ambitious.
The protracted chieftaincy dispute between the Odumase and Dorm clans
over the paramount stool has assumed political dimensions, as Teye and Demah
find themselves in the opposing factions. Teye comes from Dorm, while Demah
hails from Odumase.
The Yilo issue has degenerated into alleged assassination plots in which
a group has accused Sub/ Lt.Tettey of involvement.
In 1996 and 2000, Tettey stood in the parliamentary elections for the
Yilo constituency but lost to the National Democratic Congress (NDC)
candidate, Daniel Terkpertey.
However, when the NPP came to power Tettey and Mathew Bawa, a tutor at
Yilo Krobo Secondary School, vied for the position of district chief
executive.
Bawa lost to Tettey and since then there has been no peace between the
two.
When the rift deepened, the constituency chairman, Nicholas Addae, and
constituency organiser, Alex Narh Adjirako, fell out with the DCE and some
patrons of the party in the constituency.
But the chairman and the youth organizer, realizing that their
popularity had waned, reportedly frustrated efforts to hold a constituency
congress to elect new executives.
It was alleged that the chairman concealed documents from the regional
secretariat, ordering the holding of the congress.
Later, nine elected members of the party held a meeting and selected
November 3, 2002, for the congress but it was reported that a day to the
congress, the two executive members made an abortive attempt to hold a press
conference at Nkurakan.
Some patrons in the constituency managed to organise a congress at Boti
Falls and the chairman and the organiser lost their positions, with Kingsley
Ampomah becoming the new constituency chairman.
According to the report, the old executive forged an alliance with Bawa
to ensure that the district became ungovernable for Sub/ Lt. Tettey.
Around the same period, the DCE was reeling under a section of the
assembly members who accused him of autocratic rule.
The former naval officer was said to have awarded a contract for the
renovation of the Old Somanya market to the Manya constituency chairman,
Mr. Padi Asime, without going through laid-down tender processes.
Again he was blamed for acquiring a tract of land at the foot of the
Krobo mountain for the cultivation of mango for export and cassava under the
President's Special Initiative (PSI), both without the consent of the
assembly.
Quite recently, the NPP held its primaries for parliamentary candidates
in which the DCE contested the Yilo Krobo assembly's presiding member, Moses
Tetteh, who lost.
Incidentally, Tetteh hails from Adjikpo, a suburb of Somanya, like the
NDC Member of Parliament (MP), Daniel Terkpertey.
Prior to the primaries at Somanya, Matthews Bawa, speaking to this
reporter, complained that the DCE was hosting the delegates to a meal at his
official residence that morning.
He said the information was confirmed when a section of the delegates
rushed to the residence and he cautioned the DCE against using his
incumbency to the disadvantage of the other opponent.
This resulted in a heated argument and Bawa alleged that the former
naval officer pulled a pistol but the DCE's wife and the NPP regional
organizer restrained him.
As he left for his house he heard that Addai was stabbed on the head
with a bottle at the DCE's residence and he was treated and discharged at
the Atua Government Hospital.
People from the Zongo community also joined in the riot that threatened
security of the area.
One of the attacking groups virtually took over the Trom junction to
Koforidua and Accra at the outskirts of Somanya, which became a no-go area
for passers-by who were terrorized and robbed.
The District Security Council (DISEC) saw the need to beef up security
by deploying soldiers to flush out the criminal elements from their
hideouts.
After the swoop, a number of the gangsters fled but some were
arrested.
Recently, a group including one Addo had gone to the media to make a
statement that the Yilo Krobo DCE and some party executives in the
constituency had engaged them to assassinate some party members including
Addae and Adjirako.
The tape on which one of them, Lala, made a statement on the abortive
assassination available to The Chronicle indicated that they did not expect
the DCE to order soldiers and police to arrest them.
According to the tape, some of them were sleeping in coffins on sale in
a bid to escape arrest.
The statement alleged that the group could not succeed on three
occasions to eliminate their victims because the victims did not turn up on
scheduled dates.
One of those who fell out with the DCE disclosed to The Chronicle that
they felt the current constituency chairman, Kingsley Ampomah was pushed to
become the chairman and that would not augur well for the party.
He said the DCE currently holds a regional executive position and wanted
to follow it with a parliamentary position, adding that these are the only
problems that they have with the DCE and his current executive.
The Akropong Divisional Police Command when reached stated that it had a
number of suspects on its wanted list, including one Addo, whose picture
appeared in a newspaper with others claiming that they were contracted to
assassinate some party gurus."
cassava;sorghum,Customs Seizes N3.02 Billion Smuggled Goods,https://allafrica.com/stories/200312220402.html,Nigeria: Customs Seizes N3.02 Billion Smuggled Goods,22 December 2003,Daily Trust (Abuja),https://dailytrust.com/,,"The Nigeria Customs Service (NCS), has within this year impounded
prohibited goods and second-hand vehicles valued at over N3.02 billion.
The News Agency of Nigeria (NAN) reports that the seized vehicles,
popularly known as ""Tokunbo"", are those that are more than eight years old
from the date of manufacture.
A summary of the seizures made available to NAN in Abuja, at the
weekend, showed that the items seized included textile materials, frozen
chicken and turkey and used vehicles.
Others are rice, fruit juice in packs and cigarettes, petroleum
products, vegetable oil, pharmaceutical products, hard drugs, second-hand
clothes, as well as arms and ammunition.
The customs service stated that the total number of seizures nationwide
was more than 2,000.
An official of the service attributed the ""remarkable haul"" to the
strategies adopted by the service to ensure strict compliance with
government directives.
""We will not relent in our efforts to crackdown on smuggling activities
and to ensure that we also tackle the illegal importation of arms and
ammunition,"" the customs officer, who pleaded anonymity, said.
It will be recalled that the federal government in August, last year
banned the importation of sorghum, millet, wheat flour, gypsum, vegetable
oil in bulk, mosquito repellant coils, retreaded or used tyres, gaming
machines and second-hand clothes.
Others are used refrigerators and air-conditioning units, used
compressors, bagged cement, vehicles of any kind, through the land borders
and vehicles that are above eight years from the date of manufacture.
Also outlawed were frozen poultry, textiles of any kind through the land
borders, printed fabric (Ankara) cassava and cassava products, containerised
goods through the land borders as well as fruit juice in retail packs.
Government also banned the importation of table water
(sparkling/non-sparkling), toothpicks, spaghetti, noodles, biscuits of any
type and drugs and other regulated products through the land borders.
On the list of prohibited items are sugar, all kinds of canned and
bottled beer, toilet rolls, confectioneries, exercise books and envelopes,
as well as Barytes and Bentonites.
The government said that it decided to ban the importation of the items
to boost local production, enhance the performance of the national economy
and safeguard the health of its citizenry."
cassava,"Harnessing Potentials of Nigeria's Air, Sea Ports",https://allafrica.com/stories/200312080250.html,"Nigeria: Harnessing Potentials of Nigeria's Air, Sea Ports",6 December 2003,Weekly Trust (Abuja),http://www.dailytrust.com/weekly/home.htm,,"Benin City — Nigeria is said to be loosing huge money in terms of excise and custom
duties due to im-proper enforcement of laws in the country even as the Edo
State Command of the Nigeria Customs Service, said it has generated the sum
of N1.7 billion betweenJanuary and October this year.
Speaking exclusively with the Weekly Trust at the Benin Airport,
Chairman of the Nigeria Economic and Financial Partners, a Non-Governmental
Organization (NGO) responsible for wooing foreign investors to the Niger
Delta, Dr. Patricia Opori said if the Nigerian borders, seaports and
airports are properly manned by the customs, the present revenue generated
by them will increase by not less than 150 per cent.
""Let me give you an example with Benin City and Port-Harcourt. When you
go to any of these cities, you realize that about 90 per cent of the fridges
you find in the markets are the imported second hand fridges that are
classified as contraband. Go to the offices of the big men who uses native
dresses, you discover that they are using the imported guinea brocade which
are also classified as contraband.""
""The case of second hand vehicles is the worst. About 70 per cent of the
imported tokunbo (second hand), cars you see in the warehouses were
manufactured more than ten years ago. And I tell you one thing, all the
custom papers they give you as well as the bank tellers for the payment of
customs duty into the bank, the evidence of shipment are all fake. They have
all the required custom papers, stamps and everything in their
warehouses. When you buy a car, they go in, prepare those fake documents and
give you"".
Dr. Opori said her organization consisted mainly of Nigerians with
business connections abroad who have investigated the issue and confirmed
the dubious nature of the Nigerian Tokunbo motor dealers, adding that, ""of
the five vehicles bought by our members from different dealers in Benin City
and two from Port-Harcourt, none has genuine documents. Even the bank
tellers were forged.""
She said if the customs can effectively man the entry points and
possibly raid places believed to be housing contraband goods, confiscate
them and punish both the smugglers, the officers who aided them to smuggle
the goods, the buyers and harbourers of the goods, customs generated revenue
will appreciate more and Nigerian local industries will be encouraged to
increase production.
She said when all means to import vehicles of more than ten years old
into the country are blocked; the importers will be left with no option but
to import those within the specifications that can be brought in through the
authorised routes thereby generating more income.
In his own contribution, a major transporter in the state and an
official of the Transport Owners Association, Deacon Bright Osasume, said in
the past, when customs officers were manning roadblocks at strategic
locations in the state, illegally acquired guns and other contraband goods
were not in mass circulation in the state.
""No transporter then will carry your goods without knowing the contents
and what the law is saying about those goods. Since the customs stopped
mounting roadblocks in Edo State, every person is now free to move anything
from Lagos to Onitsha, Warri, Port Harcourt or even Lagos to Abuja and other
parts of the East and South-South. Edo has now turned to a dumping ground of
all those things, you know you must pass through Benin to all those places.""
He blamed government for dismantling the customs checkpoints in the
state which he said has given room for the massive movement of contraband
and other prohibited goods into the state which he said is responsible for
the high rate of crime in the area.
When Weekly Trust visited the major business areas in Benin City, only
Uyi Technical Company and two others were seen selling new refrigerators
with about five new compressors said to be in stock for several months
without patronage as against the numerous stores that sell second hand
fridges and compressors in the country.
A store attendant where second hand fridges, compressors, televisions,
computers and other electronics are being sold, Mrs. Franca Ezeala, told
this reporter that they sell an average of ten fridges a week and that they
sell to even local and state governments offices as well as corporate
bodies, companies and individuals.
However, at number 98C Mission Road, where new fridges are sold, Mr. Ken
Omono, the store attendant told this reporter that the last time they sold
new fridges was before the April general elections when they supplied two to
the state government. He attributed the poor sales to the massive stock of
tokunbo fridges and the poor economic state of Nigerians.
An economists in a private firm, ALSFAT Finances, Mr. Sunday Dimowo said
the major mistake government did in it's bid to curtail the entry and
circulation of contraband goods was for allowing government agencies and
officials to patronize the contraband goods themselves. ""Tell me right from
the president to the governors, senators to even councillors, ministers,
commissioners and chairmen of local government, who is not using the
imported guinea brocade? Who among them is using the brocade manufactured in
Zaria or Kano? Look at their wives, who among them is using locally made
fabrics? Go to their dinning table, what you see there are imported
biscuits. The government is now buying tokunbo vehicles as official
cars. Then why should the poor man be punished for doing the same?""
Mr. Dimowo warned that the government should put it's house in order by
cleansing itself before attacking poor traders in the market whom he said,
use their life savings in buying the goods that the customs arrest and
destroy or auction.
The National President of Motor Dealers Association of Nigeria (MODAN),
Elder Benjamin Ughumu, said the issue of tokunbo vehicles should not be an
issue in this country at all, adding that ""the customs have sealed up the
border against tokunbo cars and all the items they listed as contraband. You
cannot bring in a vehicle to this country now except through the seaport. If
there is anybody that brings in a vehicle illegally into Nigeria, that may
be the smugglers or customs officials. We are not smugglers.""
He said it will amount to a violation of his members rights to free
trade, if the customs decided to raid their warehouses and impound any
vehicle that passed through customs into the country.
""There is no bush path or illegal route you can enter Nigeria with a
vehicle and not a motorcycle without meeting the customs. If they allow
smugglers to bring in vehicles illegally, they must not come and disturb
innocent dealers thereafter.""
On the issue of motor dealers forging customs clearance papers, he said
his association does not support illegality. ""I doubt if there is anything
like that happening. But if anybody is arrested for forgery and it is
established, I am sorry, MODAN may not have anything to do about that. The
person should clear himself."" The Managing Director of a multi-national oil
palm producing company in Edo State, Presco Oil, and member of the
Presidential Committee on Oil Palm Development, Mr. Phil Vandebeeck, told
newsmen that the N50 billion the federal government intend to release was
for enhancement of local production of vegetable oil.
He pointed out that the oil palm producing companies in the country have
the capacity to produce enough oil for both local consumption and export. He
said Presco, which produces 50 tonnes of oil per day, is now increasing its
production to 70 tonnes per day.
He said there is no need for the importation of vegetable oil from any
country.
When contacted for comments, the Customs Area Comptroller of the state,
Dr. Hussaini Suleiman Kangiwa, said the issue of manning the country's
border by security operatives is very difficult due to the porous nature of
the border and the large size of the country.
""When people travel to border towns like Banki/Amchide in Borno State
where the two towns of Banki in Nigeria and Amchide in Cameroun have merged
together, they will understand what we are saying. There are hotels, houses
and shops built along the borderline. You fine such houses or hotels with
two doors, one in Nigeria and the other in Cameroun. When the Nigeria
authorities say no movement or business after 12 midnight, the hotels close
the gates leading to Nigeria and open the Cameroun gates and business
continues and vice-versa. How do you man such places when the people are one
and they eat from the same pot?""
He said the customs doesn't enact laws but they only enforce laws
relevant to their duties, adding, ""every item listed as contraband, has a
reason why its importation is banned. The gas in those used compressors is
harmful to human health. Used Cars of over eight years are very weak and
old. At the slightest accident, you find that they are completely damaged
and that affects the passengers in the vehicle. With all the cooking oil we
produce in this country and the surplus bottled water and biscuits, what is
the need of importing other ones. We should not allow Nigeria to be turned
into a dumping ground for all sub-standard and over used products. We should
be seen to be exporting all these things"".
He listed the contraband goods as rethreaded used tyres, cars of more
than eight years, gaming machines, cement in bags, vegetable oil in bulks,
used refrigerators, used air conditioners, used compressors, fabrics and
textile materials.
He mentioned other goods as poultry products, cassava and cassava
products, tooth pick in any form, table drinking water, biscuits, spaghetti,
fruit juice, paints, sugar confectionaries, exercise books, envelopes, beer
and toilet rolls.
He also warned against the exportation of maize, timber, raw hides and
skins, scrap metals, unprocessed rubber latex and humps, Artifacts and
antiquities as well as wild animals like crocodile, elephants, lizards,
eagle, monkey, zebra and lions are all prohibited.
He said most of the local industries stopped production because the
markets for their local products, which he described as goods for the
Nigerian environment, have been taken over by ""unnecessary imported goods
that are mostly substandard and not good for both our economy and the
environment."" He advised used motor dealers to ensure that they buy and sell
only vehicles that passed through the approved entry ports, with authentic
import and customs clearance documents and advised that the vehicles must be
within the approved specification of not more than eight years old for
cars.
""The law is there and there is just no compromise. It is left for the
dealers or smugglers or whatever they call themselves, to operate within the
ambit of the laws or have themselves to blame. Nobody will harass anyone
that does his or her business as specified by the law. When you do anything
different, it is your own business and you are doing that at your own risk
and at your own cost.""
For those dealing in contraband goods, he adviced them to keep away from
such businesses and find other things doing before the law catches up with
them. ""We can only advise, warn and guide before one is arrested. When you
are arrested, you must be punished according to the law and that is all.""
""Look, smuggling activity alone or the illegal importation of contraband is
enough to ruin the economy of a country no matter how rich it may be. These
smugglers use the much needed hard currency to go and bring those
things. They bring them into the country illegally without the government
gaining a kobo from it. When they bring those goods, they deprive the local
manufacturers of similar goods from selling theirs. These local
manufacturers who pay tax to government, employ Nigerians to work for them
and help in developing the economy are now forced to close business."" He
said that government's decision to fish out these illegally smuggled
contraband goods even from the hinterland is in the interest of both the
economy and security of the nation. ""The effect of this illegal smuggling of
contraband into the country may be partially responsible for the poor
economic situation in the country since a lot of factories have been forced
to close down. Nigerians should expose them and their warehouses to the
authorities."""
cassava;sorghum,Annual Inflation Drops to 19%,https://allafrica.com/stories/200311260706.html,Zambia: Annual Inflation Drops to 19%,26 November 2003,The Post (Lusaka),,,"Lusaka — THE annual rate of inflation has fallen to 19.1 per cent for November
from the 21.1 per cent level recorded in October, the Central Statistical
Office (CSO) has announced.
Releasing the November Consumer Price Index (CPI) yesterday, CSO
director Dr. Buleti Nsemukila said the decline in the annual rate of
inflation was largely due to the decrease in the food index.
Dr. Nsemukila said the food index, which showed increases in September
and October, had recorded a decrease in November.
The monthly inflation rate was recorded at 2 per cent as at November
2003, representing an increase of 0.2 of a percentage point on the October
rate of 1.8 per cent.
Monthly inflation rates for the metropolitan low, high income and
non-metropolitan groups were recorded at 2.1, 2.2 and 1.8 per cent
respectively.
For the CPI, the price decreases observed for mealie meal and cereals in
the month of October have continued in the month of November.
The monthly food index was recorded at 1.9 per cent in November 2003,
0.5 of a percentage lower than 2.4 per cent recorded for October 2003.
Annual food inflation stood at 16.6 per cent as at November 2003,
decreasing by 4.4 percentage points on the October rate of 21 per cent.
The food index was influenced by the continued decline in the prices of
mealie meal, maize grain and other cereals as well as some vegetables.
Price increases were observed in meat, fish, kapenta, oils and fats,
milk and milk products and other processed food commodities.
However, these price increases were not high enough to influence the
rate of inflation in the positive direction.
There were price decreases in the cost of mealie meal, maize, rice,
flour, bread, samp, millet and sorghum, cassava meal, some vegetables and
fruits.
The non-food index recorded a monthly increase of 2.2 per cent as at
November, a percentage point higher than the rate observed in October.
The annual non-food index increased by 22.1 per cent in November, 0.8 of
a percentage point higher than the October increase.
Moderate price increases were observed in some non-food sectors.
Some non-food sectors that contributed to the slight increase in the
non-food index are increases in furniture, medical care, telecommunications
and personal care.
Price decreases were observed in the cost of air transport, vehicles and
hotel accommodation.
The drop in the cost of these services is attributed to the current
lower foreign exchange rate prevailing on the foreign exchange market
compared to that recorded in October.
Meanwhile, the average price of a 25 kg bag of roller meal decreased by
7.6 per cent, from K25,367 in October to K23,449 in November 2003, while
breakfast meal decreased by 1.1 per cent, from K31,130 in October to K30,793
in November 2003.
Maize grain measured in a 20-litre tin also registered a decrease, from
K11,993 in October 2003 to K11,537 in November, reflecting a decrease of 3.8
per cent.
The CPI covers three areas categorized as metropolitan low, metropolitan
high and non-metropolitan groups.
The metropolitan low income group covers low income households in the
urban areas while the metropolitan high income group covers high income
households in the urban areas. The non-metropolitan group covers households
in rural areas"
cassava,16 Rescued in Gulu,https://allafrica.com/stories/200311260310.html,Uganda: 16 Rescued in Gulu,26 November 2003,New Vision (Kampala),http://www.newvision.co.ug/,,"Kampala — THE Uganda Peoples Defence Forces (UPDF) on Thursday rescued 16
abductees and recovered looted goods from the LRA rebels after an assault on
a rebel hideout in Aswa River Valley, Palaro sub-county.
UPDF 4th Division spokesman Lt. Paddy Ankunda said the Lord's Resistance
Army (LRA) rebels fled in disarray towards Kitgum district.
The items recovered included dry meat, cassava chips and cooking
utensils.
Meanwhile, three LRA fighters, including LRA vice chairman Vincent
Otti's wife, surrendered to the UPDF in Kitgum district.
Area-based UPDF 503 brigade commander, Lt. Col. Samuel Kiwanuka, said
the trio were at the headquarters.
Gulu district officials said the district has been relatively peaceful
for months save for last week's LRA incursion into Aswa county."
cassava,Congo: Military Chiefs Analyse Situation Along Border,https://allafrica.com/stories/200311260035.html,Angola: Congo: Military Chiefs Analyse Situation Along Border,25 November 2003,Angola Press Agency (Luanda),https://www.angop.ao/en/,,"Cabinda — Matters related to the current situation along the Angola, Congo
Brazzaville and the Democratic Republic of Congo's common border will be
analysed on Tuesday, in far northern Cabinda province, by the three
countries' military delegations.
To participate in the meeting, is in Cabinda city the vice Chief of the
Angolan Armed Forces, General Geraldo Sachipengo ""Nunda"", who heads the
Angolan team.
In oil-rich Cabinda province, the Angolan Armed Forces have been
carrying out for several months military operations against some guerilla of
FLEC, with a view to guarantee a political and military stability in this
region of Angola.
Cabinda province is bordered to the West with the Atlantic Ocean, North
with Congo Brazzaville and in East and South with the Democratic Republic of
Congo.
It has an area of 7.280 square kilometers and its population is
estimated at 170.000 inhabitants.
Oil, phosphate, uranium, wood, potassium and gold are its primary
natural resources.
The local population dedicates mostly in the cultivation of maize,
coffee, cocoa, cassava and in the production of palm oil."
cassava;yam,Country Selected to Export Items to US Market,https://allafrica.com/stories/200311170943.html,Ghana: Country Selected to Export Items to US Market,17 November 2003,Accra Mail (Accra),https://accramail.com/,,"Ghana has been selected as the only country in sub-Saharan Africa to
export Afro-centric (locally woven garments) items to the United States
market under the African Growth and Opportunity Act (AGOA).
Ghana attained this status after the sector Ministry had sent various
samples of Ghanaian folklore garments and textiles to the United States for
verification, last year.
The items included, batik, tie and dye, Kente, Joromi, Kaftan, smock,
table mats and other textile furnishings.
Dr Gordon Asare-Kyeremateng, AGOA Adviser, announced this in Tamale on
Friday when he addressed a one-day seminar to launch the American Chamber of
Commerce AGOA Help Desk.
He said by attaining this position, Ghanaian exportable items such as
garments and textiles were likely to increase the volume of items to the US
market.
About 60 representatives from the business community in the Northern
Region took part in the seminar, which had the theme: ""Taking advantage of
the AGOA initiative"".
The forum was to create the awareness and opportunities of AGOA to the
business communities in the Northern, Upper East and Upper West Regions for
them to get involved in the activities of the initiative.
Dr Asare-Kyeremateng called on the business community in the Northern
Region to take advantage of the opportunities around them to explore and be
part of AGOA and derive optimum benefit from the initiative. Mr Iddrisu
Adam, Tamale Metropolitan Chief Executive called on the participants to make
good use of the seminar and position themselves in the right perspective to
benefit from AGOA.
He said, for instance, that cashew, groundnut, sheanut, cottonseed, yam
and cassava, which were produced in the region, could be exported to the
US. Mr Adam said the Metropolitan Assembly was ready to support businessmen
in the region to promote their businesses.
The seminar covered areas such as ""background information on AGOA"",
product coverage and eligibility"", performance under AGOA"" and ""export
planning."
cassava;sorghum,Contraband Owners Get 2-Week Disposal Deadline,https://allafrica.com/stories/200311070446.html,Nigeria: Contraband Owners Get 2-Week Disposal Deadline,7 November 2003,Daily Trust (Abuja),https://dailytrust.com/,,"The Nigeria Customs Service (NCS) has given supermarkets and shop owners
in the country a 2-week deadline to dispose of contraband or risk
seizure.
The News Agency of Nigeria (NAN) recalls that the federal government had
in August, last year banned the importation of some products, food items and
other consumables into the country.
""We are inundated with reports of flagrant display and sale of banned
items in supermarkets, shops and market places across the country,"" a
statement issued by the NCS today in Abuja, said.
The statement, signed by the comptroller-general, Alhaji Ahmed Mustapha,
and made available to NAN, stated that the service would on expiration of
the ultimatum raid such shops nationwide.
Mustapha said that the enforcement team of the service would confiscate
the banned items ""where ever found"" and also prosecute the offenders.
He, directed the customs area controllers to use the local media in
their locality to educate and warn members of the public on the impeding
action.
The customs boss, also advised all customs formations nationwide to
ensure strict compliance with the directive.
NAN recalls that the service had recently raided warehouses in some
popular markets in Lagos and Kano and impounded contraband textiles and
other items valued at millions of Naira.
Among items outlawed were sorghum, millet, wheat flour, gypsum,
vegetable oil in bulk, mosquito repellent coils, rethreaded or used tyres,
gaming machines and second-hand clothes.
Others are used fridges and air-conditioning units, used compressors,
bagged cement, vehicles of any kind through the land borders, vehicles that
are above eight years from the date of manufacture, textiles of any kind
through the land borders, printed fabric (Ankara) and frozen poultry.
Also banned were cassava, cassava products, containerised goods through
the land borders, fruit juice in retail packs, table water
(sparkling/non-sparkling), toothpicks, spaghetti, noodles, biscuits of any
type and drugs and other regulated products through the land borders.
The government had also banned the importation of sugar, all kinds of
canned and bottled beer, toilet rolls, confectioneries, exercise books and
envelopes, Barytes and Bentonites with effect from July 1, 2003.
NAN learnt that the ban was intended by government to boost local
production, enhance the performance of the national economy and safeguard
the health of the citizenry."
yam,Christmas Fever Grips Yaounde,https://allafrica.com/stories/200312230673.html,Cameroon: Christmas Fever Grips Yaounde,22 December 2003,Cameroon Tribune (YaoundÃ©),http://www.cameroon-tribune.cm,,"Most markets now appear busier than usual as the population prepares for Christmas.
The month of December is a special period world wide, not only for the celebration of Christmas but as an end of a year. Money or no money, markets during this period are jammed with goods and people.
This festive fever is once more around. Markets in the nation's Capital get thicker each day. Buyers and sellers have intensified their activities in a bid to prepare for Christmas. Hundreds of people have engaged in businesses that are of peak demand to the population. Toys, decorative materials, fashion dresses and food stuffs are some of the most sought for goods. In Yaounde, for instance, toys and children dresses flood most markets. Affordable toys and dresses can be found in the Mokolo and Central markets. Cartons of toys are displayed in almost all corners in the market. Many buyers are seen purchasing either toys or dresses for their children.
Mokolo market is a case in point where many buyers, especially women, scramble for second hand dresses (okrikah). According to a buyer, Valerie, they are affordable because of the cheap price. Most big shops in Mokolo and the Central market have not only displayed new items in and out of their shops, but have set a festive tone with attractive music and decorations.
There is high competition amongst traders as many shop owners are doing every thing to attract customers. While some have announced discount in prices of goods, others hire young men and women to persuade customers for them. Others have even gone in for animation groups to animate in front of their shops thereby attracting customers. According to the proprietor of one super market in Mokolo, there is need to attract customers because the competition amongst traders is very high. He offers a packet of detergent to every customer who buys from the super market.
At the Mfoundi market, still in Yaounde, food stuff dominates sales as usual. One can quickly see yams, rice and chicken, etc, as the are displayed almost in all corners of the market. Most traders especially in the Melen market exceed their closing time as they sell late into the night. Here one can find very cheap under wears, dresses and shoes for less than 500francs.
With the crowd around markets, pedestrians and car owners can hardly have their way near market avenues. To this effect, police men are on guard to evacuate those selling along the road especially in the Mokolo and Elig-Edzoa markets."
